Example Co. Income Statement;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
For the Year Ended December 31,;2026;2027;2028;2029;2030;;;;;;;;;;
Sales;;;;;;;;;;;;;;;
 Peer to peer Revenue ;22.722 ;188.593 ;357.806 ;579.382 ;847.515 ;;;;;;;;;;
 Total Affiliate Sales Revenue ; -   ;164.891 ;372.645 ;998.568 ;1.505.910 ;;;;;;;;;;
 Pro rental revenue ; -   ;18.139 ;77.934 ;169.305 ;320.341 ;;;;;;;;;;
Total Sales; €22.722 ; €371.623 ; €808.386 ; €1.747.255 ; €2.673.766 ;;;;;;;;;;
;;;;;;;;;;;;;;;
Cost of Goods Sold;;;;;;;;;;;;;;;
 Direct Expenses ;1.954 ;19.046 ;42.864 ;76.187 ;122.797 ;;;;;;;;;;
 $-   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
 $-   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
 $-   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
Total Cost of Goods Sold; €1.954 ; €19.046 ; €42.864 ; €76.187 ; €122.797 ;;;;;;;;;;
;;;;;;;;;;;;;;;
Gross Margin; €20.767 ; €352.577 ; €765.522 ; €1.671.068 ; €2.550.968 ;;;;;;;;;;
Percent;91%;95%;95%;96%;95%;;;;;;;;;;
;;;;;;;;;;;;;;;
Operating Expenses;;;;;;;;;;;;;;;
Marketing;21.545 ;158.815 ;223.831 ;272.387 ;366.833 ;;;;;;;;;;
General and Administrative;5.000 ;22.297 ;48.503 ;87.363 ;133.688 ;;;;;;;;;;
Development & Maintenance;8.100 ;22.297 ;48.503 ;69.890 ;80.213 ;;;;;;;;;;
Custumer support; -   ;18.581 ;40.419 ;87.363 ;133.688 ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
Salaries;59.938 ;305.110 ;417.136 ;443.974 ;472.752 ;;;;;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
Depreciation and Amortization;360 ;360 ;360 ;360 ;360 ;;;;;;;;;;
Total Operating Expenses; €94.943 ; €527.461 ; €778.753 ; €961.337 ; €1.187.535 ;;;;;;;;;;
;;;;;;;;;;;;;;;
Pre-Tax Income; €(74.175); €(174.884); €(13.231); €709.731 ; €1.363.433 ;;;;;;;;;;
Income Tax; -   ; -   ; -   ;177.433 ;340.858 ;;;;;;;;;;
Net Income; €(74.175); €(174.884); €(13.231); €532.298 ; €1.022.575 ;;;;;;;;;;
;;;;;;;;;;;;;;;
EBITDA; €(73.815); €(174.524); €(12.871); €710.091 ; €1.363.793 ;;;;;;;;;;
(Earnings Before Interest, Taxes, Depreciation, and Amortization);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Marketing;0,30890328;;;;;;;;;;;;;;
General and Administrative;0,112576302;;;;;;;;;;;;;;
Development & Maintenance;0,067545781;;;;;;;;;;;;;;
Custumer support;0,112576302;;;;;;;;;;;;;;
Salaries;0,398095185;;;;;;;;;;;;;;
Depreciation and Amortization;0,000303149;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
